time from scenario start,umv response duration ms
00:03:57.72,1501
00:03:57.73,1502
00:03:57.73,1596
00:03:57.79,1594
00:03:57.90,1502
00:03:57.99,1715
00:03:58.05,1702
00:03:58.21,1502
00:03:58.23,1502
00:03:58.24,1683
00:03:58.31,1681
00:03:58.35,1501
00:03:58.46,1502
00:03:58.49,1677
00:03:58.51,1502
00:03:58.56,1724
00:03:58.66,1501
00:03:58.67,1501
00:03:58.69,1501
00:03:58.74,1740
00:03:58.81,1719
00:03:58.82,1501
00:03:58.85,1502
00:03:58.87,1501
00:03:58.90,1501
00:03:58.91,1502
00:03:58.94,1501
00:03:59.00,1742
00:03:59.05,1501
00:03:59.07,1751
00:03:59.25,1724
00:03:59.29,1501
00:03:59.32,1501
00:03:59.32,1562
00:03:59.47,1502
00:03:59.51,1726
00:03:59.58,1698
00:03:59.71,1501
00:03:59.76,1714
00:03:59.83,1721
00:04:00.00,1501
00:04:00.00,1501
00:04:00.01,1676
00:04:00.03,1502
00:04:00.08,1502
00:04:00.08,1697
00:04:00.11,1502
00:04:00.17,1501
00:04:00.18,1501
00:04:00.23,1502
00:04:00.26,1741
00:04:00.31,1501
00:04:00.32,1502
00:04:00.34,1729
00:04:00.43,1501
00:04:00.43,1501
00:04:00.52,1742
00:04:00.53,1501
00:04:00.56,1502
00:04:00.59,1684
00:04:00.69,1501
00:04:00.77,1753
00:04:00.84,1748
00:04:01.02,1635
00:04:01.10,1642
00:04:01.22,1501
00:04:01.28,1701
00:04:01.35,1730
00:04:01.53,1665
00:04:01.60,1648
00:04:01.78,1598
00:04:01.82,1502
00:04:01.85,1501
00:04:01.86,1571
00:04:01.97,1502
00:04:02.03,1502
00:04:02.04,1726
00:04:02.11,1754
00:04:02.29,1601
00:04:02.36,1558
00:04:02.41,1501
00:04:02.49,1502
00:04:02.54,1696
00:04:02.58,1501
00:04:02.62,1710
00:04:02.74,1501
00:04:02.80,1501
00:04:02.83,1777
00:04:02.88,1754
00:04:03.07,1501
00:04:03.09,1717
00:04:03.14,1678
